invoiceidno,itemdescription,quantity,rate,msku,
7694,PPrakruthi Pure Silver Satya Narayana Swamy Idol 5.5g,1,1078.82,900709,
7695,Podophyllum Dilution 30 CH,1,232.2,38733,
7696,Lemna Minor,1,240.68,42072,
7697,Dr. Reckeweg Lapis Albus Dilution30 CH,1,232.2,38796,
7698,Gnaphalium Polycephalum 30 CH,2,177.54,43293,
7699,Dr. Reckeweg Urtic a Urens Mother TinctureQ,1,338.13,38441,
7700,Mercurius Solubilis Dilution 200 CH (11ml),1,253.39,38689,
7701,Pure Silver Lakshmi Mukhavada 40g,1,6193.65,900823,
7701,Pure Silver Shanku Chakra Namalu 10g,1,1709.75,900175,
7702,Reckeweg Sepia 30 CH,1,232.2,38647,
7703,Reckeweg Sepia 30 CH,1,232.2,38647,
7704,Rumex Crispus 200 CH,1,236.44,43652,
7705,SBL Arnica Montana Dilution 30 CH,1,219.49,42602,
7706,Chelidonium Majus,2,219.91,1024481,
7707,Chelidonium Majus,2,219.91,1024481,
7708,Dr. Reckeweg R59 Obesity and Slimming Drop,2,308.9,38348,
7709,SBL Crataegus Oxyacantha Mother Tincture Q 30ml,1,227.97,42041,
7710,Graphites 200CH,1,236.44,42691,
7711,Dr. Reckeweg Ratan hia Peruviana Dilution30 CH,1,232.2,38798,
7712,Chelidonium Majus,1,261.86,1024481,
7713,Chelidonium Majus,1,261.86,1024481,
7714,Acidum Phosphoricum,1,261.86,42038,
7715,Lemna Minor 30CH,1,163.56,42711,
7715,SBL Apis Mellifica Dilution 30 CH,1,163.56,42639,
7715,Reckeweg Sepia 30 CH,1,176.27,38647,
7716,Mercurius Solubilis Dilution 200 CH (11ml),1,253.39,38689,
7717,Pure Silver Shanku Chakra Namalu 10g,1,1751.69,900175,
7718,Pure Silver Banana Pair Trees 54.5g each,1,8403.39,900149,
7719,Gnaphalium Polycephalum 30 CH,1,219.49,43293,
7720,Ocimum Sanctum,2,186.02,42066,
7721,Calotropis Gigantea,1,227.97,42069,
7722,Naturogin Putharekulu bellam plain,1,355.08,170424002,
7723,SBL Crataegus Oxyacantha Mother Tincture Q 30ml,1,227.97,42041,
7724,Graphites 200CH,1,236.44,42691,
7725,SBL Thuja Occidentalis Mother Tincture Q - 30ml,1,261.86,42033,
7726,Prakruthi Pure Silver Small Flower 6g,1,1153.39,900652,
7727,Prakruthi Pure Silver Lakshmi Narayana Idol 31g,1,4890.68,900088,
7728,Dr. Reckeweg China Off Dilution200 CH,1,253.39,38694,
7729,Dr. Reckeweg Ledum Pal Dilution30 CH,2,190.25,38731,
7730,Allen Hernia Drop - 30ml,6,183.47,1024189,
7731,Lycopodium Clavatum,1,261.86,1017196,
7732,Lemna Minor,1,240.68,42072,
7733,Lemna Minor,1,240.68,42072,
7734,Prakruthi Pure Silver Hibiscus Flowers 7g,2,1261.44,900507,
7735,Mercurius Solubilis Dilution 200 CH (11ml),2,211.44,38689,
7736,Brass Pan Dan 0.97Kg,1,3789.83,1021178,
7737,Aimil Neeri Tablets (10*30 Tablets),12,23.75,1035368,
7738,Variolinum 30CH,1,219.49,43123,
7739,SBL Arnica Montana Dilution 30 CH,1,219.49,42602,
7740,Ceanothus Americanus,1,427.12,42070,
7741,SBL Fucus Vesiculosus Mother Tincture Q 30ml,1,261.86,42046,
7742,Dr. Reckeweg Caust icum Dilution200 CH,1,253.39,38654,
7743,Brass Pan Dan 0.97Kg,1,3789.83,1021178,
7744,Chelidonium Majus,1,261.86,1024481,
7745,Dr. Reckeweg Lapis Albus Dilution30 CH,1,232.2,38796,
7746,SBL Thuja Occidentalis Mother Tincture Q - 30ml,1,261.86,42033,
7747,Pure Silver Flowers with Design Pack of 108 50g,1,7730.51,900348,
7748,Dr. Reckeweg Calcarea Fluoricum 200 CH (11ml) - 30ml,1,253.39,DRMM1,
7749,SBL Arnica Montana Mother Tincture Q,1,342.37,42040,
7750,Dr. Reckeweg Acid Fluor Dilution 6 CH - 30ml,1,232.2,41485,
7751,Prakruthi Pure Silver Shiva Lingam 10g,1,1751.69,900732,
7752,SBL Arnica Montana Dilution 30 CH,2,177.54,42602,
7753,Ceanothus Americanus,1,427.12,42070,
7754,Chelidonium Majus,1,219.92,1024481,
7754,Justicia Adhatoda,1,186.01,42077,
7755,SBL Thuja Occidentalis Mother Tincture Q - 30ml,1,261.86,42033,
7756,Digitalis Purpurea,1,227.97,42132,
7757,Reckeweg Sepia 30 CH,1,232.2,38647,
7758,Dr. Reckeweg Lemna Minor Dilution 200 CH,1,253.39,38707,
7759,Dr. Reckeweg Lapis Albus Dilution30 CH,1,232.2,38796,
7760,SBL Hydrocotyle Asiatica Mother Tincture Q - 30ml,1,227.97,42087,
7761,Antimonium Crudum 30,1,219.49,42738,
7762,Pure Silver Kamakshi Diya 20g,1,3246.61,900877,
7763,Acidum Nitricum Dilution 30 CH,1,232.2,38705,
7764,SBL Arnica Montana Dilution 30 CH,1,219.49,42602,
7765,Dr. Reckeweg Urtic a Urens Mother TinctureQ,3,282.2,38441,
7766,Prakruthi Pure Silver Red Hibiscus Flowers 7,1,1303.39,900645,
7767,Naturogin Plain sakinalu,1,384.74,LF-OT0Q-O9RE,
7768,Thuja Occ Dilution 30 CH (30ml),2,190.25,38665,
7769,SBL Hydrocotyle Asiatica Mother Tincture Q - 30ml,1,227.97,42087,
7770,Dr. Reckeweg Stram onium Dilution30 CH,1,232.2,38801,
7771,Dr. Reckeweg Caust icum Dilution200 CH,1,253.39,38654,
7772,Allen Hernia Drop - 30ml,1,253.39,1024189,
7773,Gnaphalium Polycephalum 30 CH,1,219.49,43293,
7774,SBL Arnica Montana Dilution 30 CH,1,219.49,42602,
7775,Mercurius Solubilis Dilution 200 CH (11ml),1,253.39,38689,
7776,Mercurius Solubilis Dilution 200 CH (11ml),1,253.38,38689,
7777,Lama Lavan Bhaskar Churna 500g,1,35.624,Lama053,
7777,Kerala Ayurveda Histantin Tablet -100 Tabs,3,35.625,KeralaAyurveda585,
7777,Kerala Ayurveda Laxinol-H Capsule - 100 tabs,2,35.625,1044811,
